Epic ID,Epic Name,Story ID,Story Type,Story Name,User Role,User Want,User Benefit,Acceptance Criteria,Non Functional Requirements,Story Points,Sprint,Team,Epic File
EPIC-07,Tienda y Monetizacion,HU-07-04,User Story,Abrir sobre con animacion,jugador,abrir con animacion de revelacion,sea emocionante,"AC1 open retorna 10 cartas; AC2 5 comunes 3 poco comunes 1 rara 1 holo; AC3 user_collection incrementa quantity; AC4 UI animacion carta a carta; AC5 cooldown 24h","Performance: refresh user_collection_stats async; Justicia: SecureRandom",5,S8,C+B,../03_epicas/EPIC-07-TIENDA/EPIC.md
EPIC-07,Tienda y Monetizacion,HU-07-05,User Story,Cooldown 24h tras abrir sobre,sistema,limitar 1 sobre cada 24h,ritmo de progreso saludable,"AC1 Redis booster:cooldown:{userId} TTL 86400; AC2 GET cooldown -> secondsRemaining; AC3 abrir durante cooldown -> 429 BOOSTER_COOLDOWN retryAfter; AC4 UI contador HH:MM:SS","",3,S8,C+B,../03_epicas/EPIC-07-TIENDA/EPIC.md
EPIC-07,Tienda y Monetizacion,HU-07-06,User Story,Historial de pagos,jugador,ver mis transacciones,auditar mis gastos,"AC1 GET /users/me/payments paginado desc; AC2 paymentId amount currency status createdAt mpEventId; AC3 solo el dueno","",3,S10,C+B,../03_epicas/EPIC-07-TIENDA/EPIC.md
EPIC-08,Bot e Inteligencia Artificial,HU-08-01,User Story,Bot EASY,jugador novato,rival con acciones validas pero aleatorias,aprender el juego sin presion,"AC1 BotEasy retorna acciones validas aleatorias; AC2 si no hay valida -> END_TURN; AC3 delay 500-1000ms; AC4 partida PvE -> GAME_OVER sin 500; AC5 llamado por GameEngine cuando es turno BOT","Robustez: nunca loop infinito",5,S5,A,../03_epicas/EPIC-08-BOT/EPIC.md
EPIC-08,Bot e Inteligencia Artificial,HU-08-02,User Story,Bot MEDIUM greedy,jugador con experiencia,bot que elige mejor outcome inmediato,ponerme a prueba,"AC1 BotMedium evalua y elige max score; AC2 funcion scoring testeable; AC3 fallback END_TURN; AC4 decision <2s","",8,S11,A,../03_epicas/EPIC-08-BOT/EPIC.md
EPIC-08,Bot e Inteligencia Artificial,HU-08-03,User Story,Bot HARD minimax,jugador avanzado,bot que planifique varios turnos,desafio real,"AC1 minimax depth 3 + alfa-beta; AC2 heuristica HP premios energias mazo; AC3 timeout <5s con fallback Medium; AC4 tests prefiere KO ahora vs 2 turnos","",13,S11,A,../03_epicas/EPIC-08-BOT/EPIC.md
EPIC-08,Bot e Inteligencia Artificial,HU-08-04,User Story,Elegir personalidad del bot,jugador,elegir entre 3 personalidades,bot tenga estilo propio,"AC1 selector en lobby PvE; AC2 set de mensajes por trigger; AC3 personalidad solo afecta chat no dificultad; AC4 seedeada en BD/JSON","",3,S11,A,../03_epicas/EPIC-08-BOT/EPIC.md
EPIC-08,Bot e Inteligencia Artificial,HU-08-05,User Story,Mensajes con personalidad durante partida,jugador,bot me hable durante la partida,sea menos robotico,"AC1 BotChatService triggers GAME_START ATTACK KO; AC2 delay 1-3s; AC3 guardado en game_chat_messages; AC4 frontend label Bot color distinto; AC5 rate limit chat humano 1/s","Privacidad: solo participantes ven mensajes",5,S11,A,../03_epicas/EPIC-08-BOT/EPIC.md
EPIC-09,Social y Comunidad,HU-09-01,User Story,Perfil consolidado,jugador,ver stats coleccion historial en una pagina,vista resumen,"AC1 GET /users/me/profile con username email wins losses winRate skillRating league coins collectionStats recentGames; AC2 UI avatar badges %; AC3 P95<400ms","",5,S10,C+B,../03_epicas/EPIC-09-SOCIAL/EPIC.md
EPIC-09,Social y Comunidad,HU-09-02,User Story,Perfil publico de otro jugador,jugador,ver perfil publico de otros,comparar stats antes de retar,"AC1 GET /users/{id}/profile solo info publica; AC2 no expone email coins ni historial detallado","",3,S10,C+B,../03_epicas/EPIC-09-SOCIAL/EPIC.md
EPIC-09,Social y Comunidad,HU-09-03,User Story,Solicitar amistad,jugador,enviar/aceptar/rechazar solicitudes,armar mi lista,"AC1 POST request crea PENDING; AC2 accept solo receptor; AC3 reject/cancelar; AC4 no a si mismo ni duplicada; AC5 WS FRIEND_REQUEST_RECEIVED","",5,S9,C+B,../03_epicas/EPIC-09-SOCIAL/EPIC.md
EPIC-09,Social y Comunidad,HU-09-04,User Story,Presencia en tiempo real,jugador,ver online/jugando/offline de mis amigos,decidir a quien retar,"AC1 GET /friends con presenceStatus; AC2 Redis user:presence:{userId} TTL 5min heartbeat 2min; AC3 setPlaying durante partida; AC4 UI iconos 🟢/🎮/⚫; AC5 boton Retar solo ONLINE -> sala privada + FRIEND_CHALLENGE","Privacidad: solo amigos ven mi presencia",5,S9,C+B,../03_epicas/EPIC-09-SOCIAL/EPIC.md
EPIC-09,Social y Comunidad,HU-09-05,User Story,Leaderboard global,jugador,ver ranking de mejores,medir donde estoy parado,"AC1 GET /leaderboard?filter=pvp paginado por skillRating DESC; AC2 filter pvp excluye no-QUEUE; AC3 rank username wins losses winRate skillRating league; AC4 vista materializada refrescada post-partida","Performance: P95<200ms",3,S9,C+B,../03_epicas/EPIC-09-SOCIAL/EPIC.md
EPIC-09,Social y Comunidad,HU-09-06,User Story,Mi posicion en ranking,jugador,saber mi rank y puntos para subir,motivacion,"AC1 GET /users/me/ranking con rank points league nextLeague pointsToNext; AC2 UI barra de progreso","",2,S9,C+B,../03_epicas/EPIC-09-SOCIAL/EPIC.md
EPIC-09,Social y Comunidad,HU-09-07,User Story,Progresion por ligas,jugador,ascender BRONCE -> PLATA -> ORO,sentir progreso,"AC1 victoria QUEUE/ROOM +25; AC2 derrota sin cambio; AC3 PvE no afecta; AC4 umbrales 1000 y 2500; AC5 users.league actualizado al cruzar; AC6 declareWinner llama rankingService.addWinPoints","",5,S9,C+B,../03_epicas/EPIC-09-SOCIAL/EPIC.md
EPIC-09,Social y Comunidad,HU-09-08,User Story,Leer noticias,jugador,ver novedades del juego,estar al tanto,"AC1 GET /news PUBLICO; AC2 orden is_pinned DESC published_at DESC; AC3 categorias UPDATE EVENT MAINTENANCE ANNOUNCEMENT; AC4 POST solo ADMIN verificado contra BD; AC5 UI badges + pinned arriba","",3,S9,C+B,../03_epicas/EPIC-09-SOCIAL/EPIC.md
EPIC-10,Infraestructura y DevOps,TT-10-01,Technical Task,Definir CONTRATOS_API.md,Sistema,contratos REST acordados,equipos pueden trabajar en paralelo,"Contratos cubren auth cards decks games rooms matchmaking collection boosters payments leaderboard news friends","Documentacion: Swagger; Versionado: documentado",5,S0,ALL,../03_epicas/EPIC-10-INFRA/EPIC.md
EPIC-10,Infraestructura y DevOps,TT-10-02,Technical Task,Definir PROTOCOLO_WEBSOCKET.md,Sistema,eventos STOMP documentados,frontend puede subscribirse,"Eventos publicos /topic y privados /user con payloads","",3,S0,ALL,../03_epicas/EPIC-10-INFRA/EPIC.md
EPIC-10,Infraestructura y DevOps,TT-10-03,Technical Task,Definir MOCKS_FRONTEND.md,Sistema,mocks JSON por endpoint,desarrollo paralelo del frontend,"JSONs realistas + MockInterceptor activable por env","",3,S0,B,../03_epicas/EPIC-10-INFRA/EPIC.md
EPIC-10,Infraestructura y DevOps,TT-10-05,Technical Task,docker-compose.yml con 10 servicios,Sistema,levantar stack local con un comando,desarrollo y entrega reproducibles,"Postgres Redis MinIO MinIO setup Prometheus Grafana exporters api front Nginx","Disponibilidad: healthchecks; Tiempo: <90s",2,S0,C,../03_epicas/EPIC-10-INFRA/EPIC.md
EPIC-10,Infraestructura y DevOps,TT-10-07,Technical Task,Migraciones Flyway V1-V15,A,schema completo y seed,BD lista para todos los flujos,"15 migraciones aplicadas exitosamente; >=22 tablas; seed cards.json preparado","Reproducibilidad: idempotente; Calidad: zero downtime migrations",5,S0,A,../03_epicas/EPIC-10-INFRA/EPIC.md
EPIC-10,Infraestructura y DevOps,TT-10-12,Technical Task,Metricas custom codemon_*,Sistema,exponer metricas business y system,observabilidad y alertas,"Counters/Gauges/Timers; users_registered games_started games_finished boosters_opened revenue users_online queue_size","Performance: scrape 15s sin impacto; Compatibilidad: PromQL",5,S8,C,../03_epicas/EPIC-10-INFRA/EPIC.md
EPIC-10,Infraestructura y DevOps,TT-10-21,Technical Task,HTTPS productivo con Nginx TLS,Sistema,servir la app por HTTPS en produccion,usuarios acceden de manera segura,"AC1 Nginx prod redirige 80 a 443; AC2 TLS usa certificados externos montados; AC3 /api /ws /minio /actuator y Swagger funcionan por HTTPS; AC4 WebSocket usa wss; AC5 servicios internos no exponen puertos publicos; AC6 documentacion APB de deploy completa","Seguridad: TLS 1.2+; Secretos: certificados y .env.production no versionados; Compatibilidad: local sigue en http://localhost:8088",3,S11,C,../03_epicas/EPIC-10-INFRA/EPIC.md
EPIC-11,Calidad y Testing,TT-11-04,Technical Task,Suite Playwright E2E,Sistema,flujos criticos cubiertos en CI,prevenir regresiones,"Auth + mazos + partida PvE + partida PvP + compra sobre cubiertos; corre headless en Chrome y Firefox","Calidad: pasa en CI sin flakiness",13,S11,B,../03_epicas/EPIC-11-CALIDAD/EPIC.md
EPIC-11,Calidad y Testing,TT-11-05,Technical Task,Lighthouse audit mobile,Sistema,medir performance y accesibilidad,asegurar UX en mobile,"Lighthouse mobile >=80 Performance >=90 Accessibility","",3,S11,B,../03_epicas/EPIC-11-CALIDAD/EPIC.md
EPIC-11,Calidad y Testing,TT-11-09,Technical Task,Test de carga 50 partidas WebSocket,Sistema,medir capacidad del backend,validar escalabilidad,"50 partidas concurrentes sin caida; CPU<70%; reporte generado","",5,S11,A,../03_epicas/EPIC-11-CALIDAD/EPIC.md
